district,sous_district,commune,num_ofs,population
Jura-Nord vaudois,Yverdon,Mauborget,5562,137
Jura-Nord vaudois,Yverdon,Molondin,5921,260
Jura-Nord vaudois,Yverdon,Montagny-près-Yverdon,5922,768
Jura-Nord vaudois,Yverdon,Montcherand,5756,494
Jura-Nord vaudois,Yverdon,Mutrux,5563,138
Jura-Nord vaudois,Yverdon,Novalles,5564,105
Jura-Nord vaudois,Yverdon,Onnens,5565,527
Jura-Nord vaudois,Yverdon,Orbe,5757,8008
Jura-Nord vaudois,Yverdon,Orges,5924,416
Jura-Nord vaudois,Yverdon,Orzens,5925,216
Jura-Nord vaudois,Yverdon,Pomy,5926,904
Jura-Nord vaudois,Yverdon,La Praz,5758,214
Jura-Nord vaudois,Yverdon,Premier,5759,233
Jura-Nord vaudois,Yverdon,Provence,5566,421
Jura-Nord vaudois,Yverdon,Rances,5760,513
Jura-Nord vaudois,Yverdon,Romainmôtier-Envy,5761,579
Jura-Nord vaudois,Yverdon,Rovray,5928,198
Jura-Nord vaudois,Yverdon,Sainte-Croix,5568,5149
Jura-Nord vaudois,Yverdon,Sergey,5762,165
Jura-Nord vaudois,Yverdon,Suchy,5929,672
Jura-Nord vaudois,Yverdon,Suscévaz,5930,263
Jura-Nord vaudois,Yverdon,Tévenon,5571,857
Jura-Nord vaudois,Yverdon,Treycovagnes,5931,518
Jura-Nord vaudois,Yverdon,Ursins,5932,227
Jura-Nord vaudois,Yverdon,Valeyres-sous-Montagny,5933,717
Jura-Nord vaudois,Yverdon,Valeyres-sous-Rances,5763,573
Jura-Nord vaudois,Yverdon,Valeyres-sous-Ursins,5934,225
Jura-Nord vaudois,Yverdon,Vallorbe,5764,4434
Jura-Nord vaudois,Yverdon,Vaulion,5765,500
Jura-Nord vaudois,Yverdon,Villars-Epeney,5935,109
Jura-Nord vaudois,Yverdon,Vugelles-La Mothe,5937,142
Jura-Nord vaudois,Yverdon,Vuiteboeuf,5766,616
Jura-Nord vaudois,Yverdon,Yverdon-les-Bains,5938,30600
Jura-Nord vaudois,Yverdon,Yvonand,5939,3536
Lausanne,Romanel,Cheseaux-sur-Lausanne,5582,4870
Lausanne,Romanel,Epalinges,5584,9869
