Communes,code_ofs,district_electoral
Aclens,5621,Morges
Allaman,5851,Morges
Aubonne,5422,Morges
Ballens,5423,Morges
Berolle,5424,Morges
Bière,5425,Morges
Bougy-Villars,5426,Morges
Bremblens,5622,Morges
Buchillon,5623,Morges
Chavannes-le-Veyron,5475,Morges
Chevilly,5476,Morges
Chigny,5628,Morges
Clarmont,5629,Morges
Cossonay,5477,Morges
Cuarnens,5479,Morges
Denens,5631,Morges
Denges,5632,Morges
Dizy,5481,Morges
Echandens,5633,Morges
Echichens,5634,Morges
Eclépens,5482,Morges
Etoy,5636,Morges
Ferreyres,5483,Morges
Féchy,5427,Morges
Gimel,5428,Morges
Gollion,5484,Morges
Grancy,5485,Morges
Hautemorges,5656,Morges
L'Isle,5486,Morges
La Chaux (Cossonay),5474,Morges
La Sarraz,5498,Morges
Lavigny,5637,Morges
Lonay,5638,Morges
Lully VD,5639,Morges
Lussy-sur-Morges,5640,Morges
Mauraz,5488,Morges
Moiry VD,5490,Morges
Mollens VD,5431,Morges
Mont-la-Ville,5491,Morges
Montricher,5492,Morges
Morges,5642,Morges
Orny,5493,Morges
Pompaples,5497,Morges
Préverenges,5643,Morges
Romanel-sur-Morges,5645,Morges
Saint-Livres,5435,Morges
Saint-Oyens,5436,Morges
Saint-Prex,5646,Morges
Saubraz,5437,Morges
Senarclens,5499,Morges
Tolochenaz,5649,Morges
Vaux-sur-Morges,5650,Morges
Villars-sous-Yens,5652,Morges
Vufflens-le-Château,5653,Morges
Vullierens,5654,Morges
Yens,5655,Morges
Arnex-sur-Nyon,5701,Nyon
Arzier - Le Muids,5702,Nyon
Bassins,5703,Nyon
Begnins,5704,Nyon
Bogis-Bossey,5705,Nyon
Borex,5706,Nyon
Bursinel,5852,Nyon
Bursins,5853,Nyon
Burtigny,5854,Nyon
Chavannes-de-Bogis,5707,Nyon
Chavannes-des-Bois,5708,Nyon
Chéserex,5709,Nyon
Coinsins,5710,Nyon
Commugny,5711,Nyon
Coppet,5712,Nyon
Crans,5713,Nyon
Crassier,5714,Nyon
Duillier,5715,Nyon
Dully,5855,Nyon
Essertines-sur-Rolle,5856,Nyon
Eysins,5716,Nyon
Founex,5717,Nyon
Genolier,5718,Nyon
Gilly,5857,Nyon
Gingins,5719,Nyon
Givrins,5720,Nyon
Gland,5721,Nyon
Grens,5722,Nyon
La Rippe,5726,Nyon
Le Vaud,5731,Nyon
Longirod,5429,Nyon
Luins,5858,Nyon
Marchissy,5430,Nyon
Mies,5723,Nyon
Mont-sur-Rolle,5859,Nyon
Nyon,5724,Nyon
Perroy,5860,Nyon
Prangins,5725,Nyon
Rolle,5861,Nyon
Saint-Cergue,5727,Nyon
Saint-George,5434,Nyon
Signy-Avenex,5728,Nyon
Tannay,5729,Nyon
Tartegnin,5862,Nyon
Trélex,5730,Nyon
Vich,5732,Nyon
Vinzel,5863,Nyon
Bussigny,5624,Ouest lausannois
Chavannes-près-Renens,5627,Ouest lausannois
Crissier,5583,Ouest lausannois
Ecublens VD,5635,Ouest lausannois
Prilly,5589,Ouest lausannois
Renens VD,5591,Ouest lausannois
Saint-Sulpice,5648,Ouest lausannois
Villars-Sainte-Croix,5651,Ouest lausannois
Blonay - Saint-Légier,5892,Vevey
Chardonne,5882,Vevey
Château-d'Oex,5841,Pays-d'Enhaut
Corseaux,5883,Vevey
Corsier-sur-Vevey,5884,Vevey
Jongny,5885,Vevey
La Tour-de-Peilz,5889,Vevey
Montreux,5886,Vevey
Rossinière,5842,Pays-d'Enhaut
Rougemont,5843,Pays-d'Enhaut
Vevey,5890,Vevey
Veytaux,5891,Vevey
