votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Veytaux,5891,,157,0,0,157,64,40.76433121019109,93,59.23566878980891,
gc_2022_centre,20.03.22,centre,Vevey,Veytaux,5891,,157,0,0,157,8,5.095541401273886,149,94.90445859872611,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Veytaux,5891,,157,0,0,157,15,9.554140127388536,142,90.44585987261146,
gc_2022_PS,20.03.22,centre-gauche,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,432,16.608996539792386,2169,83.39100346020761,
gc_2022_Gauche,20.03.22,gauche,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,131,5.036524413687044,2470,94.96347558631297,
gc_2022_extreme-droite,20.03.22,extreme-droite,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,326,12.53364090734333,2275,87.46635909265667,
gc_2022_droite-bourgeoise,20.03.22,droite,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,1091,41.94540561322568,1510,58.05459438677432,
gc_2022_centre,20.03.22,centre,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,312,11.995386389850058,2289,88.00461361014995,
gc_2022_verts,20.03.22,centre-gauche,Vevey,Blonay - Saint-Légier,5892,,2601,0,0,2601,308,11.84159938485198,2293,88.15840061514803,
gc_2022_PS,20.03.22,centre-gauche,La Vallée,L'Abbaye,5871,,396,0,0,396,104,26.262626262626267,292,73.73737373737373,
gc_2022_Gauche,20.03.22,gauche,La Vallée,L'Abbaye,5871,,396,0,0,396,0,0,396,100,
gc_2022_extreme-droite,20.03.22,extreme-droite,La Vallée,L'Abbaye,5871,,396,0,0,396,46,11.616161616161616,350,88.38383838383838,
gc_2022_droite-bourgeoise,20.03.22,droite,La Vallée,L'Abbaye,5871,,396,0,0,396,198,50,198,50,
gc_2022_centre,20.03.22,centre,La Vallée,L'Abbaye,5871,,396,0,0,396,17,4.292929292929292,379,95.70707070707071,
gc_2022_verts,20.03.22,centre-gauche,La Vallée,L'Abbaye,5871,,396,0,0,396,32,8.080808080808081,364,91.91919191919192,
gc_2022_PS,20.03.22,centre-gauche,La Vallée,Le Chenit,5872,,971,0,0,971,354,36.4572605561277,617,63.5427394438723,
gc_2022_Gauche,20.03.22,gauche,La Vallée,Le Chenit,5872,,971,0,0,971,0,0,971,100,
gc_2022_extreme-droite,20.03.22,extreme-droite,La Vallée,Le Chenit,5872,,971,0,0,971,90,9.268795056642636,881,90.73120494335737,
