votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
salaire_min_legis_sub,14.06.26,gauche,Morges,Lonay,5638,1758,1008,39,4,903,388,42.97%,515,57.03%,57.34%
salaire_min_legis,14.06.26,gauche,Morges,Lully VD,5639,538,355,5,0,333,125,37.54%,208,62.46%,65.99%
salaire_min_legis_cp,14.06.26,droite,Morges,Lully VD,5639,538,355,12,0,326,190,58.28%,136,41.72%,65.99%
salaire_min_legis_sub,14.06.26,gauche,Morges,Lully VD,5639,538,355,13,0,325,119,36.62%,206,63.38%,65.99%
salaire_min_legis,14.06.26,gauche,Morges,Lussy-sur-Morges,5640,466,294,1,1,288,122,42.36%,166,57.64%,63.09%
salaire_min_legis_cp,14.06.26,droite,Morges,Lussy-sur-Morges,5640,466,294,3,1,286,171,59.79%,115,40.21%,63.09%
salaire_min_legis_sub,14.06.26,gauche,Morges,Lussy-sur-Morges,5640,466,294,7,1,282,106,37.59%,176,62.41%,63.09%
salaire_min_legis,14.06.26,gauche,Morges,Mauraz,5488,44,34,0,0,34,17,50.00%,17,50.00%,77.27%
salaire_min_legis_cp,14.06.26,droite,Morges,Mauraz,5488,44,34,0,0,34,18,52.94%,16,47.06%,77.27%
salaire_min_legis_sub,14.06.26,gauche,Morges,Mauraz,5488,44,34,0,0,34,16,47.06%,18,52.94%,77.27%
salaire_min_legis,14.06.26,gauche,Morges,Moiry VD,5490,212,134,1,1,130,78,60.00%,52,40.00%,63.21%
salaire_min_legis_cp,14.06.26,droite,Morges,Moiry VD,5490,212,134,5,1,126,48,38.10%,78,61.90%,63.21%
salaire_min_legis_sub,14.06.26,gauche,Morges,Moiry VD,5490,212,134,4,1,127,74,58.27%,53,41.73%,63.21%
salaire_min_legis,14.06.26,gauche,Morges,Mollens VD,5431,218,133,8,0,125,58,46.40%,67,53.60%,61.01%
salaire_min_legis_cp,14.06.26,droite,Morges,Mollens VD,5431,218,133,13,0,120,55,45.83%,65,54.17%,61.01%
salaire_min_legis_sub,14.06.26,gauche,Morges,Mollens VD,5431,218,133,17,0,116,52,44.83%,64,55.17%,61.01%
salaire_min_legis,14.06.26,gauche,Morges,Mont-la-Ville,5491,337,165,2,0,163,71,43.56%,92,56.44%,48.96%
salaire_min_legis_cp,14.06.26,droite,Morges,Mont-la-Ville,5491,337,165,4,0,161,95,59.01%,66,40.99%,48.96%
