année,parti,sièges
2006,da.,8
2011,da.,7
2016,da.,16
2021,da.,23
2021,En Avant Vevey,10
2006,Le Centre/Verts lib,8
2011,Le Centre/Verts lib,7
2016,Le Centre/Verts lib,6
2021,Le Centre/Verts lib,5
2006,Les Vert.e.s,7
2011,Les Vert.e.s,12
2016,Les Vert.e.s,11
2021,Les Vert.e.s,13
2006,PLR,26
2011,PLR,22
2016,PLR,21
2021,PLR,22
2006,PS,30
2011,PS,28
2016,PS,19
2021,PS,12
2006,UDC,8
2011,UDC,11
2016,UDC,10
2021,UDC,6
2006,Vevey Libre,13
2011,Vevey Libre,13
2016,Vevey Libre,17
2021,Vevey Libre,9
2006,En Avant Vevey,0
2011,En Avant Vevey,0
2016,En Avant Vevey,0
2026,PLR,22
2026,da.,20
2026,PS,19
2026,En Avant Vevey,9
2026,Les Vert.e.s,10
2026,Le Centre/Verts lib,6
2026,Vevey Libre,10
2026,UDC,4
