Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5535;Saint-Barthélemy;61900;0.53;48200;74100;92300;68200;239;24;17;198
5537;Villars-le-Terroir;59200;1.49;48200;72600;90500;65800;179;31;44;105
5539;Vuarrens;61700;0.74;48400;73900;94000;67700;117;28;27;62
5540;Montilliez;60500;1.55;46500;73000;97400;67200;239;61;79;100
5541;Goumoëns;62400;1.81;51200;77200;98500;69900;261;32;73;155
5551;Bonvillars;67500;1.08;52400;78800;105600;72800;90;31;35;23
5552;Bullet;54100;1.54;42000;64400;82300;59100;155;21;23;111
5553;Champagne;57000;1.75;44900;71300;93600;64300;522;20;339;164
5554;Concise;58200;1.74;44100;71300;89100;66300;150;35;20;95
5555;Corcelles-près-Concise;55600;1.52;45800;68800;99400;62300;88;25;N/A - secret statistique;62
5556;Fiez;61300;1.3;43300;76400;96100;69300;39;11;5;23
5557;Fontaines-sur-Grandson;57300;2.63;49100;74500;96700;62300;13;7;0;6
5559;Giez;65500;1.31;50500;87400;117000;75800;74;15;41;18
5560;Grandevent;67800;0.57;51500;83100;110000;74700;15;7;N/A - secret statistique;7
5561;Grandson;57200;3.9;41100;71400;94100;64100;1272;9;288;975
5562;Mauborget;44800;2.81;28300;66400;87300;56800;14;8;N/A - secret statistique;6
5563;Mutrux;49200;1.04;40100;59300;89700;55100;19;9;N/A - secret statistique;6
5564;Novalles;63900;1.04;42500;71400;85500;71200;14;7;N/A - secret statistique;N/A - secret statistique
5565;Onnens;53900;1.56;44900;70000;98200;62900;185;18;N/A - secret statistique;164
5566;Provence;51100;2.36;38400;63000;79400;56200;143;42;30;71
5568;Sainte-Croix;41800;9.9;32600;53900;72000;47400;1529;51;554;924
5571;Tévenon;57400;1.04;45100;70700;95000;62400;95;23;19;53
5581;Belmont-sur-Lausanne;75400;1.03;54500;99800;137200;84800;399;N/A - secret statistique;56;339
5582;Cheseaux-sur-Lausanne;56800;1.71;46000;72900;97600;64000;1730;20;391;1319
5583;Crissier;48900;3.45;37300;63000;87300;55400;9155;9;3018;6128
5584;Epalinges;62300;2.1;45500;86000;123700;72700;3107;N/A - secret statistique;138;2966
5585;Jouxtens-Mézery;104600;0.39;74700;144400;200300;122500;143;N/A - secret statistique;43;99
5586;Lausanne;44400;4.66;33300;59200;85600;51100;104018;98;5891;98029
5587;Le Mont-sur-Lausanne;63700;1.93;47300;85700;124400;73900;7075;44;1686;5345
5588;Paudex;59300;2.44;44200;78500;121400;67700;1074;N/A - secret statistique;161;912
5589;Prilly;44600;4.2;34900;55600;77400;50000;5737;N/A - secret statistique;1146;4588
5590;Pully;68800;1.8;47600;96000;147600;81000;4698;19;268;4411
5591;Renens;42000;4.67;33000;51900;68500;46600;13669;28;2109;11532
5592;Romanel-sur-Lausanne;52000;2.69;39600;63600;84100;57700;1510;N/A - secret statistique;641;868
5601;Chexbres;64500;2.07;47700;84800;118300;75100;599;38;82;479
5604;Forel (Lavaux);59300;0.83;45000;75100;97200;66300;988;79;541;367
5606;Lutry;81400;1;55700;112500;169900;94700;2764;69;308;2388
5607;Puidoux;52800;2.43;41300;68400;96200;59500;2168;131;804;1233
5609;Rivaz;68900;1.48;48300;86000;119100;79000;56;33;N/A - secret statistique induit;16
5610;St-Saphorin (Lavaux);67800;2.39;50400;91400;122300;82100;61;20;N/A - secret statistique;38
5611;Savigny;67600;2.24;49400;84500;113300;76500;1172;68;283;821
5613;Bourg-en-Lavaux;74500;0.95;52000;100600;152800;86700;1251;206;117;928
5621;Aclens;64000;1.76;50600;82300;95900;73700;1764;11;552;1201
5622;Bremblens;75500;1.17;60200;101500;148300;92600;324;41;169;114
5623;Buchillon;89300;0.21;61300;135100;272700;112700;97;8;6;83
5624;Bussigny;51300;2.91;39500;64900;87700;57500;5479;12;1795;3673
5627;Chavannes-près-Renens;41700;3.15;32900;51500;65300;46700;3084;N/A - secret statistique;181;2903
5628;Chigny;88000;0.73;61000;126300;170300;110300;45;10;7;27
5629;Clarmont;69800;0.57;52300;87700;119800;79500;25;14;N/A - secret statistique;10
5631;Denens;82400;2.44;58400;109300;152700;94200;77;30;9;38
5632;Denges;61200;1.56;45200;82500;111200;71200;748;10;202;536
5633;Echandens;70000;1.41;51400;93400;131000;81000;1411;12;556;843
5634;Echichens;74100;0.98;55900;95200;133800;84800;589;75;30;484
5635;Ecublens;46900;2.37;36300;59500;82800;53000;15663;12;2684;12967
5636;Etoy;63600;1.31;46700;87200;123300;74300;2687;54;459;2174
5637;Lavigny;65600;1.06;48900;85500;114100;74400;735;29;77;629
5638;Lonay;68900;0.73;52100;88900;123100;77000;1325;52;428;845
5639;Lully;82600;0.21;58100;109400;156500;96100;135;10;37;87
5640;Lussy-sur-Morges;84800;0.02;57500;102600;146800;93700;175;11;39;125
5642;Morges;52900;2.56;39600;69100;100100;60100;9922;30;856;9036
